token	tag	lemma
Črnuška	mte:Agpfsn	črnuški
tovarna	mte:Ncfsn	tovarna
že	mte:Q	že
tretja	mte:Mlofsn	tretji
zdrava	mte:Agpfsn	zdrav
družba	mte:Ncfsn	družba
,	mte:Z	,
ki	mte:Cs	ki
ni	mte:Va-r3s-y	biti
več	mte:Q	več
SCT	mte:Npmsn	SCT
-	mte:Z	-
jeva	mte:Agpfsn	jev
Podjetje	mte:Ncnsn	podjetje
SCT	mte:Npmsn	SCT
Naložbe	mte:Ncfsg	naložba
,	mte:Z	,
hčerinska	mte:Agpfsn	hčerinski
družba	mte:Ncfsn	družba
SCT	mte:Npmsn	SCT
-	mte:Z	-
ja	mte:Q	ja
,	mte:Z	,
ki	mte:Cs	ki
je	mte:Va-r3s-n	biti
v	mte:Sl	v
prisilni	mte:Agpfsl	prisilen
poravnavi	mte:Ncfsl	poravnava
,	mte:Z	,
je	mte:Va-r3s-n	biti
prodalo	mte:Vmep-sn	prodati
51	mte:Mdc	51
-	mte:Z	-
odstotni	mte:Agpmsay	odstoten
delež	mte:Ncmsan	delež
Tovarne	mte:Ncfsg	tovarna
asfalta	mte:Ncmsg	asfalta
Črnuče	mte:Npmsn	Črnuče
.	mte:Z	.
Ivan	mte:Npmsn	Ivan
Zidar	mte:Npmsn	Zidar
je	mte:Va-r3s-n	biti
tako	mte:Rgp	tako
iz	mte:Sg	iz
morebitne	mte:Agpfsg	morebiten
stečajne	mte:Agpfsg	stečajen
mase	mte:Ncfsg	masa
izločil	mte:Vmep-sm	izločiti
enega	mte:Mlpmsa	en
zadnjih	mte:Agpmpg	zadnji
še	mte:Q	še
zdravih	mte:Agpmpg	zdrav
delov	mte:Ncmpg	del
SCT	mte:Npmsn	SCT
-	mte:Z	-
ja	mte:Q	ja
.	mte:Z	.
Zidar	mte:Npmsn	Zidar
je	mte:Va-r3s-n	biti
o	mte:Sl	o
prodaji	mte:Ncfsl	prodaja
obvestil	mte:Vmep-sm	obvestiti
prisilno	mte:Agpfsa	prisilen
upraviteljico	mte:Ncfsa	upraviteljica
SCT	mte:Npmsn	SCT
-	mte:Z	-
ja	mte:Q	ja
Marijo	mte:Npfsa	Marija
Magdaleno	mte:Agpfsa	magdalen
Šantl	mte:Npfsn	Šantl
,	mte:Z	,
ki	mte:Cs	ki
je	mte:Va-r3s-n	biti
dejala	mte:Vmep-sf	dejati
,	mte:Z	,
da	mte:Cs	da
prodaje	mte:Ncfsg	prodaja
ne	mte:Q	ne
more	mte:Vmpr3s	moči
izpodbijati	mte:Vmpn	izpodbijati
,	mte:Z	,
ker	mte:Cs	ker
jo	mte:Pp3fsa--y	on
je	mte:Va-r3s-n	biti
opravilo	mte:Vmep-sn	opravilo
hčerinsko	mte:Agpnsn	hčerinski
podjetje	mte:Ncnsn	podjetje
.	mte:Z	.
Prodajo	mte:Ncfsa	prodaja
bi	mte:Va-c	biti
lahko	mte:Rgp	lahko
izpodbijal	mte:Vmpp-sm	izpodbijati
le	mte:Q	le
stečajni	mte:Agpmsny	stečajen
upravitelj	mte:Ncmsn	upravitelj
SCT	mte:Npfsg	SCT
Naložb	mte:Ncfpg	naložba
,	mte:Z	,
če	mte:Cs	če
bi	mte:Va-c	biti
seveda	mte:Q	seveda
upniki	mte:Ncmpn	upnik
predtem	mte:Rgp	predtem
zahtevali	mte:Vmbp-pm	zahtevati
njen	mte:Ps3msasf	njen
stečaj	mte:Ncmsan	stečaj
.	mte:Z	.
Zdravo	mte:Agpnsn	zdrav
podjetje	mte:Ncnsn	podjetje
ni	mte:Va-r3s-y	biti
več	mte:Q	več
