token	tag	lemma
Clio	mte:Npmsn	Clia
II	mte:Mrc	II
,	mte:Z	,
ki	mte:Cs	ki
ga	mte:Pp3msa--y	on
izdelujejo	mte:Vmpr3p	izdelovati
v	mte:Sl	v
novomeškem	mte:Agpmsl	novomeški
Revozu	mte:Npmsl	Revoz
,	mte:Z	,
je	mte:Va-r3s-n	biti
star	mte:Agpmsnn	star
model	mte:Ncmsn	model
,	mte:Z	,
ki	mte:Cs	ki
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
tako	mte:Rgp	tako
dolgo	mte:Rgp	dolgo
obdržal	mte:Vmep-sm	obdržati
zgolj	mte:Q	zgolj
zaradi	mte:Sg	zaradi
dobre	mte:Agpfsg	dober
prodaje	mte:Ncfsg	prodaja
.	mte:Z	.
Sicer	mte:Q	sicer
veliko	mte:Agpfsa	velik
večino	mte:Ncfsa	večina
proizvodnje	mte:Ncfsg	proizvodnja
predstavlja	mte:Vmpr3s	predstavljati
twingo	mte:Ncmsan	twingo
,	mte:Z	,
načrtujejo	mte:Vmpr3p	načrtovati
pa	mte:Cc	pa
tudi	mte:Q	tudi
nov	mte:Agpmsan	nov
model	mte:Ncmsan	model
s	mte:Si	z
kodno	mte:Agpfsi	koden
oznako	mte:Ncfsi	oznaka
X33	mte:Npfsg	X33
.	mte:Z	.
V	mte:Sl	v
Franciji	mte:Npfsl	Francija
so	mte:Va-r3p-n	biti
se	mte:Px------y	se
pogovarjali	mte:Vmpp-pm	pogovarjati
o	mte:Sl	o
letu	mte:Ncnsl	leto
2013	mte:Mdc	2013
.	mte:Z	.
Clio	mte:Npmsn	Clia
II	mte:Mrc	II
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
veliko	mte:Rgp	veliko
bolje	mte:Rgc	dobro
in	mte:Cc	in
dlje	mte:Rgc	dolgo
prodajal	mte:Vmpp-sm	prodajati
,	mte:Z	,
kot	mte:Cs	kot
je	mte:Va-r3s-n	biti
bilo	mte:Va-p-sn	biti
prvotno	mte:Rgp	prvotno
predvideno	mte:Appnsn	predviden
.	mte:Z	.
Clio	mte:Npmsn	Clia
II	mte:Mrc	II
in	mte:Cc	in
twingo	mte:Ncmsn	twingo
zaenkrat	mte:Rgp	zaenkrat
ostajata	mte:Vmpr3d	ostajati
,	mte:Z	,
v	mte:Sl	v
Novem	mte:Agpnsl	nov
mestu	mte:Ncnsl	mesto
pa	mte:Cc	pa
bodo	mte:Va-f3p-n	biti
proizvajali	mte:Vmpp-pm	proizvajati
še	mte:Q	še
nov	mte:Agpmsan	nov
model	mte:Ncmsan	model
avtomobila	mte:Ncmsg	avtomobil
.	mte:Z	.
Skupno	mte:Rgp	skupno
je	mte:Va-r3s-n	biti
v	mte:Sl	v
Revozu	mte:Npmsl	Revoz
zaposlenih	mte:Appmpg	zaposlen
3000	mte:Mdc	3000
delavcev	mte:Ncmpg	delavec
.	mte:Z	.
Po	mte:Sl	po
novici	mte:Ncfsl	novica
o	mte:Sl	o
sestanku	mte:Ncmsl	sestanek
