token	tag	lemma
Analitik	mte:Ncmsn	analitik
ameriške	mte:Agpfsg	ameriški
banke	mte:Ncfsg	banka
Citigroup	mte:Npmsn	Citigroup
Jaromir	mte:Npmsn	Jaromir
Sindel	mte:Npmsn	Sindel
je	mte:Va-r3s-n	biti
za	mte:Sa	za
ameriški	mte:Agpmsay	ameriški
časnik	mte:Ncmsan	časnik
Wall	mte:Npmsn	Wall
Street	mte:Npmsn	Street
Journal	mte:Npmsn	Journal
izračunal	mte:Vmep-sm	izračunati
,	mte:Z	,
da	mte:Cs	da
bi	mte:Va-c	biti
prodaja	mte:Ncfsn	prodaja
Elana	mte:Npmsg	Elana
,	mte:Z	,
Telekoma	mte:Npmsg	Telekom
Slovenije	mte:Npfsg	Slovenija
,	mte:Z	,
Adrie	mte:Npfsg	Adrie
Airways	mte:Npfsn	Airways
,	mte:Z	,
Krke	mte:Npfsg	Krka
in	mte:Cc	in
drugih	mte:Mlpnpg	drug
državnih	mte:Agpnpg	državen
podjetij	mte:Ncnpg	podjetje
lahko	mte:Rgp	lahko
znašala	mte:Vmpp-sf	znašati
med	mte:Si	med
500	mte:Mdc	500
in	mte:Cc	in
750	mte:Mdc	750
milijonov	mte:Ncmpg	milijon
evrov	mte:Ncmpg	evro
.	mte:Z	.
Kriza	mte:Ncfsn	kriza
je	mte:Va-r3s-n	biti
Slovenijo	mte:Npfsa	Slovenija
spodbudila	mte:Vmep-sf	spodbuditi
k	mte:Sd	k
privatizaciji	mte:Ncfsd	privatizacija
,	mte:Z	,
poroča	mte:Vmpr3s	poročati
ameriški	mte:Agpmsny	ameriški
poslovni	mte:Agpmsny	posloven
časnik	mte:Ncmsn	časnik
Wall	mte:Npmsn	Wall
Street	mte:Npmsn	Street
Journal	mte:Npmsn	Journal
.	mte:Z	.
Ugotavlja	mte:Vmpr3s	ugotavljati
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
Slovenija	mte:Npfsn	Slovenija
kapitalistični	mte:Agpmsny	kapitalističen
sistem	mte:Ncmsnn	sistem
uvedla	mte:Vmep-sf	uvesti
pred	mte:Si	pred
dvema	mte:Mlcndi	dva
desetletjema	mte:Ncndi	desetletje
in	mte:Cc	in
da	mte:Cs	da
se	mte:Px------y	se
od	mte:Sg	od
tedaj	mte:Rgp	tedaj
ljubosumno	mte:Rgp	ljubosumno
oklepa	mte:Ncmsg	oklep
zakladnice	mte:Ncfsg	zakladnica
podjetij	mte:Ncnpg	podjetje
.	mte:Z	.
Državna	mte:Agpfsn	državen
vreča	mte:Ncfsn	vreča
podjetij	mte:Ncnpg	podjetje
je	mte:Va-r3s-n	biti
mešana	mte:Appfsn	mešan
,	mte:Z	,
v	mte:Sl	v
njej	mte:Pp3fsl	on
je	mte:Va-r3s-n	biti
vse	mte:Pg-nsn	ves
od	mte:Sg	od
zavarovalnic	mte:Ncfpg	zavarovalnica
do	mte:Sg	do
proizvajalcev	mte:Ncmpg	proizvajalec
toaletnega	mte:Agpmsg	toaleten
papirja	mte:Ncmsg	papir
,	mte:Z	,
poroča	mte:Vmpr3s	poročati
.	mte:Z	.
Slovenija	mte:Npfsn	Slovenija
naj	mte:Q	naj
bi	mte:Va-c	biti
se	mte:Px------y	se
kot	mte:Cs	kot
majhna	mte:Agpfsn	majhen
država	mte:Ncfsn	država
,	mte:Z	,
obkrožena	mte:Appfsn	obkrožen
z	mte:Si	z
bogatejšimi	mte:Agcfpi	bogat
sosedami	mte:Ncfpi	soseda
,	mte:Z	,
premoženja	mte:Ncnsg	premoženje
oklepala	mte:Vmpp-sf	oklepati
,	mte:Z	,
ker	mte:Cs	ker
naj	mte:Q	naj
bi	mte:Va-c	biti
ga	mte:Pp3msa--y	on
želela	mte:Vmpp-sf	želeti
zaščititi	mte:Vmen	zaščititi
pred	mte:Si	pred
tujci	mte:Ncmpi	tujec
.	mte:Z	.
Slovenija	mte:Npfsn	Slovenija
bo	mte:Va-f3s-n	biti
s	mte:Si	z
prodajo	mte:Ncfsi	prodaja
15	mte:Mdc	15
podjetij	mte:Ncnpg	podjetje
zaslužila	mte:Vmep-sf	zaslužiti
največ	mte:Rgs	največ
750	mte:Mdc	750
milijonov	mte:Ncmpg	milijon
evrov	mte:Ncmpg	evro
,	mte:Z	,
je	mte:Va-r3s-n	biti
ocenil	mte:Vmep-sm	oceniti
analitik	mte:Ncmsn	analitik
za	mte:Sa	za
Wall	mte:Npmsn	Wall
Street	mte:Npmsn	Street
Journal	mte:Npmsn	Journal
.	mte:Z	.
Odločitev	mte:Ncfsn	odločitev
Slovenije	mte:Npfsg	Slovenija
,	mte:Z	,
da	mte:Cs	da
obdrži	mte:Vmer3s	obdržati
tako	mte:Rgp	tako
raznolike	mte:Agpfpa	raznolik
družbe	mte:Ncfpa	družba
in	mte:Cc	in
jih	mte:Pp3fpa--y	on
financira	mte:Vmbr3s	financirati
s	mte:Si	z
posojili	mte:Ncnpi	posojilo
državnih	mte:Agpfpg	državen
bank	mte:Ncfpg	banka
,	mte:Z	,
zdaj	mte:Rgp	zdaj
po	mte:Sl	po
navedbah	mte:Ncfpl	navedba
časnika	mte:Ncmsg	časnik
predstavlja	mte:Vmpr3s	predstavljati
središče	mte:Ncnsa	središče
slovenske	mte:Agpfsg	slovenski
gospodarske	mte:Agpfsg	gospodarski
krize	mte:Ncfsg	kriza
,	mte:Z	,
zaradi	mte:Sg	zaradi
katere	mte:Pq-fsg	kateri
se	mte:Px------y	se
špekulira	mte:Vmpr3s	špekulirati
,	mte:Z	,
ali	mte:Rgp	ali
bo	mte:Va-f3s-n	biti
država	mte:Ncfsn	država
prisiljena	mte:Appfsn	prisiljen
zaprositi	mte:Vmen	zaprositi
za	mte:Sa	za
mednarodno	mte:Agpfsa	mednaroden
pomoč	mte:Ncfsa	pomoč
.	mte:Z	.
Država	mte:Ncfsn	država
obvladuje	mte:Vmpr3s	obvladovati
tri	mte:Mlcfpa	trije
največje	mte:Agsfpa	velik
banke	mte:Ncfpa	banka
,	mte:Z	,
ki	mte:Cs	ki
imajo	mte:Vmpr3p-n	imeti
skupaj	mte:Rgp	skupaj
za	mte:Sa	za
9,2	mte:Mdc	9,2
milijarde	mte:Ncfsg	milijarda
dolarjev	mte:Ncmpg	dolar
6,93	mte:Mdc	6,93
milijarde	mte:Ncfsg	milijarda
evrov	mte:Ncmpg	evro
slabih	mte:Agpnpg	slab
posojil	mte:Ncnpg	posojilo
,	mte:Z	,
kar	mte:Pr-nsn	kar
je	mte:Va-r3s-n	biti
20	mte:Mdc	20
odstotkov	mte:Ncmpg	odstotek
slovenskega	mte:Agpmsg	slovenski
bruto	mte:Agpmsg	bruto
domačega	mte:Agpmsg	domač
proizvoda	mte:Ncmsg	proizvod
BDP	mte:Npmsn	BDP
,	mte:Z	,
izpostavljajo	mte:Vmpr3p	izpostavljati
pri	mte:Sl	pri
Wall	mte:Npmsn	Wall
Street	mte:Npmsn	Street
Journalu	mte:Npmsl	Journal
.	mte:Z	.
Po	mte:Sl	po
njihovih	mte:Ps3fplp	njihov
navedbah	mte:Ncfpl	navedba
je	mte:Va-r3s-n	biti
Slovenija	mte:Npfsn	Slovenija
od	mte:Sg	od
strahu	mte:Ncmsg	strah
pred	mte:Si	pred
insolventnostjo	mte:Ncfsi	insolventnost
sprejela	mte:Vmep-sf	sprejeti
seznam	mte:Ncmsan	seznam
privatizacije	mte:Ncfsg	privatizacija
15	mte:Mdc	15
podjetij	mte:Ncnpg	podjetje
.	mte:Z	.
Med	mte:Si	med
njimi	mte:Pp3mpi	on
posebej	mte:Rgp	posebej
omenjajo	mte:Vmpr3p	omenjati
proizvajalca	mte:Ncmsay	proizvajalec
smuči	mte:Ncfpg	smuč
in	mte:Cc	in
čolnov	mte:Ncmpg	čoln
Elan	mte:Npmsn	Elan
ter	mte:Cc	ter
telekomunikacijsko	mte:Agpnsa	telekomunikacijski
podjetje	mte:Ncnsa	podjetje
Telekom	mte:Npmsn	Telekom
Slovenije	mte:Npfsg	Slovenija
.	mte:Z	.
Hkrati	mte:Rgp	hkrati
ocenjujejo	mte:Vmpr3p	ocenjevati
,	mte:Z	,
da	mte:Cs	da
deleži	mte:Ncmpn	delež
v	mte:Sl	v
15	mte:Mdc	15
podjetjih	mte:Ncnpl	podjetje
,	mte:Z	,
ki	mte:Cs	ki
so	mte:Va-r3p-n	biti
namenjena	mte:Appnpn	namenjen
za	mte:Sa	za
prodajo	mte:Ncfsa	prodaja
,	mte:Z	,
predstavljajo	mte:Vmpr3p	predstavljati
majhen	mte:Agpmsan	majhen
delček	mte:Ncmsan	delček
državnega	mte:Agpnsg	državen
premoženja	mte:Ncnsg	premoženje
,	mte:Z	,
saj	mte:Cc	saj
ima	mte:Vmpr3s-n	imeti
Slovenija	mte:Npfsn	Slovenija
lastniški	mte:Agpmsay	lastniški
delež	mte:Ncmsan	delež
še	mte:Q	še
v	mte:Sl	v
več	mte:Rgc	več
kot	mte:Cs	kot
80	mte:Mdc	80
drugih	mte:Mlpfpl	drug
družbah	mte:Ncfpl	družba
,	mte:Z	,
ponekod	mte:Rgp	ponekod
tudi	mte:Q	tudi
večinski	mte:Agpmsl	večinski
.	mte:Z	.
Med	mte:Si	med
temi	mte:Pd-mpi	ta
naštevajo	mte:Vmpr3p	naštevati
največje	mte:Agsnsa	velik
pristanišče	mte:Ncnsa	pristanišče
Luko	mte:Npfsa	Luka
Koper	mte:Npmsn	Koper
,	mte:Z	,
proizvajalca	mte:Ncmsg	proizvajalec
čevljev	mte:Ncmpg	čevelj
Peko	mte:Ncfsa	peka
,	mte:Z	,
trgovca	mte:Ncmsay	trgovec
z	mte:Si	z
gorivom	mte:Ncnsi	goriv
Petrol	mte:Npmsn	Petrol
in	mte:Cc	in
farmacevta	mte:Ncmsg	farmacevta
Krko	mte:Npfsi	Krko
.	mte:Z	.
Verjamem	mte:Vmbr1s	verjeti
,	mte:Z	,
da	mte:Cs	da
so	mte:Va-r3p-n	biti
v	mte:Sl	v
Sloveniji	mte:Npfsl	Slovenija
še	mte:Q	še
vedno	mte:Rgp	vedno
zadržani	mte:Appmpn	zadržan
do	mte:Sg	do
prodaje	mte:Ncfsg	prodaja
družinske	mte:Agpfsg	družinski
srebrnine	mte:Ncfsg	srebrnina
,	mte:Z	,
je	mte:Va-r3s-n	biti
za	mte:Sa	za
Wall	mte:Npmsn	Wall
Street	mte:Npmsn	Street
Journal	mte:Npmsn	Journal
dejal	mte:Vmep-sm	dejati
ekonomist	mte:Ncmsn	ekonomist
pri	mte:Sl	pri
Standard	mte:Ncmsn	standard
Bank	mte:Npfpg	Bank
Timothy	mte:Npmsn	Timothy
Ash	mte:Npmsn	Ash
.	mte:Z	.
Časnik	mte:Npmsn	Časnik
povzema	mte:Vmpr3s	povzemati
tudi	mte:Q	tudi
besede	mte:Ncfpa	beseda
predsednika	mte:Ncmsg	predsednik
uprave	mte:Ncfsg	uprava
Modre	mte:Agpfsg	moder
zavarovalnice	mte:Ncfsg	zavarovalnica
Boruta	mte:Npmsg	Borut
Jamnika	mte:Npmsg	Jamnik
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
v	mte:Sl	v
državnih	mte:Agpfpl	državen
rokah	mte:Ncfpl	roka
trenutno	mte:Rgp	trenutno
zaradi	mte:Sg	zaradi
konverzije	mte:Ncfsg	konverzija
slabih	mte:Agpnpg	slab
posojil	mte:Ncnpg	posojilo
v	mte:Sa	v
lastniške	mte:Agpmpa	lastniški
