token	tag	lemma
Slovenija	mte:Npfsn	Slovenija
na	mte:Sa	na
Kitajsko	mte:Npfsa	Kitajska
izvozi	mte:Vmer3s	izvoziti
le	mte:Q	le
za	mte:Sa	za
69	mte:Mdc	69
mio	mte:Ncmpg	mio
.	mte:Z	.
evrov	mte:Ncmpg	evro
132	mte:Mdc	132
mio	mte:Ncmpg	mio
.	mte:Z	.
dolarjev	mte:Ncmpg	dolar
blaga	mte:Ncnsg	blago
Na	mte:Sl	na
obisku	mte:Ncmsl	obisk
je	mte:Va-r3s-n	biti
podpredsednik	mte:Ncmsn	podpredsednik
kitajske	mte:Agpfsg	kitajski
vlade	mte:Ncfsg	vlada
Huj	mte:Npmsn	Huj
Ljangju	mte:Npmsd	Ljang
,	mte:Z	,
ki	mte:Cs	ki
je	mte:Va-r3s-n	biti
pripeljal	mte:Vmep-sm	pripeljati
tudi	mte:Q	tudi
delegacijo	mte:Ncfsa	delegacija
80	mte:Mdc	80
gospodarstvenikov	mte:Ncmpg	gospodarstvenik
.	mte:Z	.
Trgovina	mte:Npfsn	Trgovina
med	mte:Si	med
državama	mte:Ncfdi	država
je	mte:Va-r3s-n	biti
sicer	mte:Q	sicer
presegla	mte:Vmep-sf	preseči
milijardo	mte:Ncfsa	milijarda
dolarjev.Kitajskega	mte:Agpmsg	dolarjevsev.ijski
podpredsednika	mte:Ncmsg	podpredsednik
je	mte:Va-r3s-n	biti
že	mte:Q	že
sprejel	mte:Vmep-sm	sprejeti
premier	mte:Ncmsn	premier
Borut	mte:Npmsn	Borut
Pahor	mte:Npmsn	Pahor
,	mte:Z	,
na	mte:Sl	na
skupni	mte:Agpfsl	skupen
novinarski	mte:Agpfsl	novinarski
konferenci	mte:Ncfsl	konferenca
pa	mte:Cc	pa
sta	mte:Va-r3d-n	biti
oba	mte:Pg-mdn	oba
politika	mte:Ncmdn	politika
opomnila	mte:Vmep-dm	opomniti
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
namen	mte:Ncmsn	namen
tridnevnega	mte:Agpmsg	tridneven
