token	tag	lemma
Predstavniki	mte:Ncmpn	predstavnik
Komisije	mte:Ncfsg	komisija
bodo	mte:Va-f3p-n	biti
prihodnjič	mte:Rgp	prihodnjič
v	mte:Sl	v
Sloveniji	mte:Npfsl	Slovenija
aprila	mte:Ncmsg	april
Predstavniki	mte:Ncmpn	predstavnik
Evropske	mte:Agpfsg	evropski
komisije	mte:Ncfsg	komisija
so	mte:Va-r3p-n	biti
v	mte:Sa	v
torek	mte:Ncmsan	torek
v	mte:Sl	v
okviru	mte:Ncmsl	okvir
postopka	mte:Ncmsg	postopek
ugotavljanja	mte:Ncnsg	ugotavljanje
in	mte:Cc	in
preprečevanja	mte:Ncnsg	preprečevanje
obstoja	mte:Ncmsg	obstoj
nevarnosti	mte:Ncfsg	nevarnost
presežnih	mte:Agpfpg	presežen
makroekonomskih	mte:Agpfpg	makroekonomski
neravnotežij	mte:Ncfpg	neravnotežija
obiskali	mte:Vmep-pm	obiskati
Slovenijo	mte:Npfsa	Slovenija
.	mte:Z	.
Namen	mte:Ncmsan	namen
obiska	mte:Ncmsg	obisk
je	mte:Va-r3s-n	biti
bil	mte:Va-p-sm	biti
pridobivanje	mte:Ncnsn	pridobivanje
dodatnih	mte:Agpfpg	dodaten
informacij	mte:Ncfpg	informacija
,	mte:Z	,
na	mte:Sl	na
podlagi	mte:Ncfsl	podlaga
katerih	mte:Pq-mpg	kateri
bo	mte:Va-f3s-n	biti
Komisija	mte:Ncfsn	komisija
pripravila	mte:Vmep-sf	pripraviti
poglobljeno	mte:Appfsa	poglobljen
analizo	mte:Ncfsa	analiza
,	mte:Z	,
so	mte:Va-r3p-n	biti
sporočili	mte:Vmep-pm	sporočiti
z	mte:Sg	z
ministrstva	mte:Ncnsg	ministrstvo
za	mte:Sa	za
finance	mte:Ncfpa	finance
.	mte:Z	.
Evropska	mte:Agpfsn	evropski
komisija	mte:Ncfsn	komisija
je	mte:Va-r3s-n	biti
v	mte:Sl	v
poročilu	mte:Ncnsl	poročilo
o	mte:Sl	o
makroekonomskih	mte:Agpnpl	makroekonomski
neravnovesjih	mte:Ncnpl	neravnovesje
v	mte:Sl	v
članicah	mte:Ncfpl	članica
EU	mte:Npfsg	EU
-	mte:Z	-
ja	mte:Q	ja
,	mte:Z	,
ki	mte:Cs	ki
ga	mte:Pp3msa--y	on
je	mte:Va-r3s-n	biti
objavila	mte:Vmep-sf	objaviti
februarja	mte:Ncmsg	februar
,	mte:Z	,
ocenila	mte:Vmep-sf	oceniti
,	mte:Z	,
da	mte:Cs	da
Slovenija	mte:Npfsn	Slovenija
poleg	mte:Sg	poleg
11	mte:Mdc	11
drugih	mte:Mlpfpg	drug
držav	mte:Ncfpg	država
EU	mte:Npfsg	EU
-	mte:Z	-
ja	mte:Q	ja
zaradi	mte:Sg	zaradi
mogočih	mte:Agpnpg	mogoč
tveganj	mte:Ncnpg	tveganje
potrebuje	mte:Vmpr3s	potrebovati
poglobljeno	mte:Appfsa	poglobljen
analizo	mte:Ncfsa	analiza
stanja	mte:Ncnsg	stanje
.	mte:Z	.
Poročilo	mte:Ncnsn	poročilo
Komisije	mte:Ncfsg	komisija
je	mte:Va-r3s-n	biti
prvi	mte:Mlomsn	prvi
korak	mte:Ncmsn	korak
v	mte:Sl	v
procesu	mte:Ncmsl	proces
preprečevanja	mte:Ncnsg	preprečevanje
in	mte:Cc	in
odpravljanja	mte:Ncnsg	odpravljanje
makroekonomskih	mte:Agpfpg	makroekonomski
neravnovesij	mte:Ncfpg	neravnovesija
,	mte:Z	,
uvedenega	mte:Appnsg	uveden
v	mte:Sl	v
sklopu	mte:Ncmsl	sklop
novega	mte:Agpmsg	nov
svežnja	mte:Ncmsg	sveženj
pravil	mte:Ncnpg	pravilo
,	mte:Z	,
imenovanega	mte:Appmsg	imenovan
šesterček	mte:Ncmsg	šesterček
,	mte:Z	,
ki	mte:Cs	ki
velja	mte:Vmpr3s	veljati
od	mte:Sg	od
sredine	mte:Ncfsg	sredina
lanskega	mte:Agpmsg	lanski
decembra	mte:Ncmsg	december
.	mte:Z	.
Lahko	mte:Rgp	lahko
neravnotežja	mte:Ncnsg	neravnotežje
ogrozijo	mte:Vmer3p	ogroziti
delovanje	mte:Ncnsa	delovanje
EU	mte:Npfsg	EU
-	mte:Z	-
ja	mte:Q	ja
?	mte:Z	?
Po	mte:Sl	po
opravljeni	mte:Appfsl	opravljen
poglobljeni	mte:Appfsl	poglobljen
analizi	mte:Ncfsl	analiza
bo	mte:Va-f3s-n	biti
Komisija	mte:Ncfsn	komisija
ocenila	mte:Vmep-sf	oceniti
,	mte:Z	,
ali	mte:Rgp	ali
v	mte:Sl	v
Sloveniji	mte:Npfsl	Slovenija
obstajajo	mte:Vmpr3p	obstajati
presežna	mte:Agpnpn	presežen
makroekonomska	mte:Agpnpn	makroekonomski
neravnotežja	mte:Ncnpn	neravnotežje
,	mte:Z	,
ki	mte:Cs	ki
bi	mte:Va-c	biti
lahko	mte:Rgp	lahko
ogrozila	mte:Vmep-pn	ogroziti
normalno	mte:Agpnsa	normalen
delovanje	mte:Ncnsa	delovanje
EU	mte:Npfsg	EU
-	mte:Z	-
ja	mte:Q	ja
.	mte:Z	.
Če	mte:Cs	če
bo	mte:Va-f3s-n	biti
ugotovila	mte:Vmep-sf	ugotoviti
,	mte:Z	,
da	mte:Cs	da
neravnotežja	mte:Ncnpn	neravnotežje
obstajajo	mte:Vmpr3p	obstajati
,	mte:Z	,
bo	mte:Va-f3s-n	biti
Komisija	mte:Ncfsn	komisija
Svetu	mte:Ncmsd	svet
EU	mte:Npfsg	EU
-	mte:Z	-
ja	mte:Q	ja
predlagala	mte:Vmbp-sf	predlagati
,	mte:Z	,
da	mte:Cs	da
sprejme	mte:Vmer3s	sprejeti
ustrezna	mte:Agpnpa	ustrezen
priporočila	mte:Ncnpa	priporočilo
za	mte:Sa	za
odpravo	mte:Ncfsa	odprava
ugotovljenih	mte:Appfpg	ugotovljen
neravnotežij	mte:Ncfpg	neravnotežija
.	mte:Z	.
Slovenija	mte:Npfsn	Slovenija
bi	mte:Va-c	biti
v	mte:Sl	v
tem	mte:Pd-msl	ta
primeru	mte:Ncmsl	primer
morala	mte:Vmpp-sf	morati
pripraviti	mte:Vmen	pripraviti
ter	mte:Cc	ter
Komisiji	mte:Ncfsd	komisija
in	mte:Cc	in
Svetu	mte:Ncmsl	svet
predložiti	mte:Vmen	predložiti
program	mte:Ncmsan	program
izpolnjevanja	mte:Ncnsg	izpolnjevanje
priporočil	mte:Ncnpg	priporočilo
Sveta	mte:Ncmsg	svet
EU	mte:Npfsg	EU
-	mte:Z	-
ja	mte:Q	ja
.	mte:Z	.
Predstavniki	mte:Ncmpn	predstavnik
EK	mte:Npmsn	EK
-	mte:Z	-
ja	mte:Q	ja
so	mte:Va-r3p-n	biti
se	mte:Px------y	se
sešli	mte:Vmep-pm	sešti
tudi	mte:Q	tudi
s	mte:Si	z
predstavniki	mte:Ncmpi	predstavnik
Urada	mte:Ncmsg	urada
RS	mte:Npfsg	RS
za	mte:Sa	za
makroekonomske	mte:Agpfpa	makroekonomski
analize	mte:Ncfpa	analiza
in	mte:Cc	in
razvoj	mte:Ncmsan	razvoj
ter	mte:Cc	ter
Banke	mte:Ncfsg	banka
Slovenije	mte:Npfsg	Slovenija
.	mte:Z	.
S	mte:Si	z
predstavniki	mte:Ncmpi	predstavnik
ministrstva	mte:Ncnsg	ministrstvo
za	mte:Sa	za
finance	mte:Ncfpa	finance
pa	mte:Cc	pa
so	mte:Va-r3p-n	biti
se	mte:Px------y	se
pogovarjali	mte:Vmpp-pm	pogovarjati
tudi	mte:Q	tudi
o	mte:Sl	o
načrtih	mte:Ncmpl	načrt
za	mte:Sa	za
fiskalno	mte:Agpfsa	fiskalen
konsolidacijo	mte:Ncfsa	konsolidacija
.	mte:Z	.
Šušteršič	mte:Npmsn	Šušteršič
je	mte:Va-r3s-n	biti
predstavil	mte:Vmep-sm	predstaviti
cilj	mte:Ncmsan	cilj
vlade	mte:Ncfsg	vlada
Minister	mte:Ncmsn	minister
za	mte:Sa	za
finance	mte:Ncfpa	finance
Janez	mte:Npmsn	Janez
Šušteršič	mte:Npmsn	Šušteršič
je	mte:Va-r3s-n	biti
na	mte:Sl	na
pogovorih	mte:Ncmpl	pogovor
predstavil	mte:Vmep-sm	predstaviti
cilj	mte:Ncmsan	cilj
vlade	mte:Ncfsg	vlada
,	mte:Z	,
da	mte:Cs	da
s	mte:Si	z
temeljitimi	mte:Agpmpi	temeljit
varčevalnimi	mte:Agpmpi	varčevalen
ukrepi	mte:Ncmpi	ukrep
v	mte:Sl	v
okviru	mte:Ncmsl	okvir
priprave	mte:Ncfsg	priprava
rebalansa	mte:Ncmsg	rebalans
zniža	mte:Vmer3s	znižati
primanjkljaj	mte:Ncmsan	primanjkljaj
državnega	mte:Agpmsg	državen
proračuna	mte:Ncmsg	proračun
na	mte:Sa	na
tri	mte:Mlcmpa	trije
odstotke	mte:Ncmpa	odstotek
bruto	mte:Agpmsg	bruto
domačega	mte:Agpmsg	domač
proizvoda	mte:Ncmsg	proizvod
.	mte:Z	.
V	mte:Sl	v
prihodnjem	mte:Agpnsl	prihodnji
letu	mte:Ncnsl	leto
je	mte:Va-r3s-n	biti
cilj	mte:Ncmsan	cilj
dodatno	mte:Agpnsn	dodaten
znižanje	mte:Ncnsa	znižanje
primanjkljaja	mte:Ncmsg	primanjkljaj
pod	mte:Sa	pod
tri	mte:Mlcmpa	trije
odstotke	mte:Ncmpa	odstotek
BDP	mte:Ncmsg	BDP
-	mte:Z	-
ja	mte:Q	ja
in	mte:Cc	in
s	mte:Si	z
tem	mte:Pd-nsi	ta
izpolnitev	mte:Ncfsn	izpolnitev
cilja	mte:Ncmsg	cilj
iz	mte:Sg	iz
postopka	mte:Ncmsg	postopek
presežnega	mte:Agpmsg	presežen
primanjkljaja	mte:Ncmsg	primanjkljaj
proti	mte:Sd	proti
Sloveniji	mte:Npfsd	Slovenija
.	mte:Z	.
Pri	mte:Sl	pri
tem	mte:Pd-nsl	ta
je	mte:Va-r3s-n	biti
bilo	mte:Va-p-sn	biti
pojasnjeno	mte:Appnsn	pojasnjen
,	mte:Z	,
da	mte:Cs	da
bo	mte:Va-f3s-n	biti
za	mte:Sa	za
oceno	mte:Ncfsa	ocena
Komisije	mte:Ncfsg	komisija
ključna	mte:Agpfsn	ključen
trajnost	mte:Ncfsn	trajnost
sprejetih	mte:Appmpg	sprejet
ukrepov	mte:Ncmpg	ukrep
v	mte:Sl	v
Sloveniji	mte:Npfsl	Slovenija
,	mte:Z	,
so	mte:Va-r3p-n	biti
pojasnili	mte:Vmep-pm	pojasniti
na	mte:Sl	na
ministrstvu	mte:Ncnsl	ministrstvo
.	mte:Z	.
Evropska	mte:Agpfsn	evropski
komisija	mte:Ncfsn	komisija
bi	mte:Va-c	biti
lahko	mte:Rgp	lahko
predlagala	mte:Vmbp-sf	predlagati
sankcije	mte:Ncfpa	sankcija
Slovenijo	mte:Npfsa	Slovenija
bodo	mte:Va-f3p-n	biti
predstavniki	mte:Ncmpn	predstavnik
Komisije	mte:Ncfsg	komisija
v	mte:Sl	v
okviru	mte:Ncmsl	okvir
tehničnega	mte:Agpmsg	tehničen
obiska	mte:Ncmsg	obisk
pred	mte:Si	pred
pripravo	mte:Ncfsi	priprava
spomladanske	mte:Agpfsg	spomladanski
napovedi	mte:Ncfsg	napoved
znova	mte:Rgp	znova
obiskali	mte:Vmep-pm	obiskati
aprila	mte:Ncmsg	april
.	mte:Z	.
Takrat	mte:Rgp	takrat
bo	mte:Va-f3s-n	biti
Komisija	mte:Ncfsn	komisija
ocenjevala	mte:Vmpp-sf	ocenjevati
tudi	mte:Q	tudi
,	mte:Z	,
ali	mte:Rgp	ali
Slovenija	mte:Npfsn	Slovenija
izpolnjuje	mte:Vmpr3s	izpolnjevati
priporočila	mte:Ncnpa	priporočilo
Sveta	mte:Ncmsg	svet
EU	mte:Npfsg	EU
-	mte:Z	-
ja	mte:Q	ja
v	mte:Sl	v
okviru	mte:Ncmsl	okvir
postopka	mte:Ncmsg	postopek
presežnega	mte:Agpmsg	presežen
