token	tag	lemma
Dow	mte:Npmsn	Dow
Jones	mte:Npmsn	Jones
v	mte:Sa	v
torek	mte:Ncmsan	torek
četrti	mte:Mlomsa	četrti
dan	mte:Ncmsan	dan
zapored	mte:Rgp	zapored
navzgor	mte:Rgp	navzgor
Čeprav	mte:Cs	čeprav
na	mte:Sl	na
vodilnih	mte:Agpfpl	vodilen
evropskih	mte:Agpfpl	evropski
borzah	mte:Ncfpl	borza
zadnja	mte:Agpmda	zadnji
dneva	mte:Ncmsa	dan
ni	mte:Va-r3s-y	biti
bilo	mte:Va-p-sn	biti
rasti	mte:Vmpn	rasti
,	mte:Z	,
je	mte:Va-r3s-n	biti
indeks	mte:Ncmsn	indeks
SBI20	mte:Mdc	SBI20
pridobil	mte:Vmep-sm	pridobiti
še	mte:Q	še
1,17	mte:Mdc	1,17
odstotka	mte:Ncmsg	odstotek
,	mte:Z	,
promet	mte:Ncmsn	promet
pa	mte:Cc	pa
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
precej	mte:Rgp	precej
povečal	mte:Vmep-sm	povečati
.	mte:Z	.
S	mte:Si	z
Krkinimi	mte:Aspfpi	Krkin
delnicami	mte:Ncfpi	delnica
ga	mte:Pp3msa--y	on
je	mte:Va-r3s-n	biti
bilo	mte:Va-p-sn	biti
za	mte:Sa	za
2,6	mte:Mdc	2,6
milijona	mte:Ncmsg	milijon
evrov	mte:Ncmpg	evro
.	mte:Z	.
Na	mte:Sl	na
koncu	mte:Ncmsl	konec
so	mte:Va-r3p-n	biti
se	mte:Px------y	se
posli	mte:Ncmpn	posel
sklepali	mte:Vmpp-pm	sklepati
tudi	mte:Q	tudi
pri	mte:Sl	pri
72,5	mte:Mdc	72,5
evra	mte:Ncmsg	evro
,	mte:Z	,
kar	mte:Pr-nsn	kar
je	mte:Va-r3s-n	biti
tri	mte:Mlcmpa	trije
odstotke	mte:Ncmpa	odstotek
nad	mte:Si	nad
torkovim	mte:Aspmsi	torkov
tečajem	mte:Ncmsi	tečaj
.	mte:Z	.
Dolenjskemu	mte:Agpmsd	dolenjski
farmacevtu	mte:Ncmsd	farmacevt
je	mte:Va-r3s-n	biti
višje	mte:Agcnsn	visok
sodišče	mte:Ncnsn	sodišče
v	mte:Sl	v
Ljubljani	mte:Npfsl	Ljubljana
dovolilo	mte:Vmep-sn	dovoliti
prodajo	mte:Ncfsa	prodaja
izdelka	mte:Ncmsg	izdelek
Valsaden	mte:Npmsn	Valsaden
v	mte:Sl	v
Sloveniji	mte:Npfsl	Slovenija
in	mte:Cc	in
s	mte:Si	z
tem	mte:Pd-nsi	ta
zavrnilo	mte:Vmep-sn	zavrniti
Novartisovo	mte:Aspfsa	novartisov
pritožbo	mte:Ncfsa	pritožba
.	mte:Z	.
V	mte:Sl	v
prvi	mte:Mlofsl	prvi
kotaciji	mte:Ncfsl	kotacija
ni	mte:Va-r3s-y	biti
bilo	mte:Va-p-sn	biti
pocenitev	mte:Ncfsn	pocenitev
.	mte:Z	.
Vsaj	mte:Q	vsaj
odstotek	mte:Ncmsn	odstotek
dražje	mte:Agcfsg	drag
so	mte:Va-r3p-n	biti
