token	tag	lemma
Napoved	mte:Ncfsn	napoved
EK	mte:Ncmsn	EK
o	mte:Sl	o
3,4	mte:Mdc	3,4
odstotnem	mte:Agpmsl	odstoten
padcu	mte:Ncmsl	padec
BDP	mte:Ncmsg	BDP
letos	mte:Rgp	letos
v	mte:Sl	v
Sloveniji	mte:Npfsl	Slovenija
je	mte:Va-r3s-n	biti
zelo	mte:Rgp	zelo
realistična	mte:Agpfsn	realističen
,	mte:Z	,
ocenjuje	mte:Vmpr3s	ocenjevati
ekonomist	mte:Ncmsn	ekonomist
Masten	mte:Npmsn	Masten
.	mte:Z	.
Ob	mte:Sl	ob
dodatnih	mte:Agpmpl	dodaten
šokih	mte:Ncmpl	šok
bi	mte:Va-c	biti
bil	mte:Va-p-sm	biti
lahko	mte:Rgp	lahko
padec	mte:Ncmsn	padec
celo	mte:Q	celo
šestodstotni	mte:Agpmsny	šestodstoten
.	mte:Z	.
Okrevanje	mte:Ncnsn	okrevanje
,	mte:Z	,
do	mte:Sg	do
katerega	mte:Pq-msg	kateri
naj	mte:Q	naj
bi	mte:Va-c	biti
prišlo	mte:Vmep-sn	priti
prihodnje	mte:Agpnsa	prihodnji
leto	mte:Ncnsa	leto
,	mte:Z	,
ne	mte:Q	ne
bo	mte:Va-f3s-n	biti
hitro	mte:Agpnsn	hiter
.	mte:Z	.
Napoved	mte:Ncfsn	napoved
Evropske	mte:Agpfsg	evropski
komisije	mte:Ncfsg	komisija
je	mte:Va-r3s-n	biti
lahko	mte:Rgp	lahko
realistična	mte:Agpfsn	realističen
,	mte:Z	,
meni	mte:Vmpr3s	meniti
ekonomist	mte:Ncmsn	ekonomist
Masten	mte:Npmsn	Masten
.	mte:Z	.
Mogoče	mte:Agpnsn	mogoč
je	mte:Va-r3s-n	biti
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
spomladanska	mte:Agpfsn	spomladanski
napoved	mte:Ncfsn	napoved
Evropske	mte:Agpfsg	evropski
komisije	mte:Ncfsg	komisija
,	mte:Z	,
ki	mte:Cs	ki
je	mte:Va-r3s-n	biti
Sloveniji	mte:Npfsd	Slovenija
za	mte:Sa	za
letos	mte:Rgp	letos
napovedala	mte:Vmep-sf	napovedati
3,4	mte:Mdc	3,4
-	mte:Z	-
odstotni	mte:Agpmsay	odstoten
padec	mte:Ncmsan	padec
BDP	mte:Ncmsg	BDP
,	mte:Z	,
zelo	mte:Rgp	zelo
realistična	mte:Agpfsn	realističen
,	mte:Z	,
meni	mte:Vmpr3s	meniti
ekonomist	mte:Ncmsn	ekonomist
Igor	mte:Npmsn	Igor
Masten	mte:Npmsn	Masten
.	mte:Z	.
Dodaja	mte:Vmpr3s	dodajati
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
za	mte:Sa	za
nosilce	mte:Ncmpa	nosilec
ekonomske	mte:Agpfsg	ekonomski
politike	mte:Ncfsg	politika
pomembno	mte:Agpnsn	pomemben
to	mte:Pd-nsn	ta
,	mte:Z	,
da	mte:Cs	da
okrevanje	mte:Ncnsa	okrevanje
,	mte:Z	,
do	mte:Sg	do
katerega	mte:Pq-msg	kateri
naj	mte:Q	naj
bi	mte:Va-c	biti
prišlo	mte:Vmep-sn	priti
prihodnje	mte:Agpnsa	prihodnji
leto	mte:Ncnsa	leto
,	mte:Z	,
ne	mte:Q	ne
bo	mte:Va-f3s-n	biti
hitro	mte:Agpnsn	hiter
.	mte:Z	.
Čisto	mte:Rgp	čisto
mogoče	mte:Agpnsn	mogoč
je	mte:Va-r3s-n	biti
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
ta	mte:Pd-fsn	ta
napoved	mte:Ncfsn	napoved
Evropske	mte:Agpfsg	evropski
komisije	mte:Ncfsg	komisija
zelo	mte:Rgp	zelo
realistična	mte:Agpfsn	realističen
in	mte:Cc	in
v	mte:Sl	v
skladu	mte:Ncmsl	sklad
s	mte:Si	z
tistim	mte:Pd-nsi	tisti
,	mte:Z	,
kar	mte:Pr-nsa	kar
je	mte:Va-r3s-n	biti
napovedal	mte:Vmep-sm	napovedati
Urad	mte:Ncmsan	urad
za	mte:Sa	za
makroekonomske	mte:Agpfpa	makroekonomski
analize	mte:Ncfpa	analiza
in	mte:Cc	in
razvoj	mte:Ncmsan	razvoj
Umar	mte:Npmsg	Umar
,	mte:Z	,
je	mte:Va-r3s-n	biti
