token	tag	lemma
Američani	mte:Npmpn	Američan
so	mte:Va-r3p-n	biti
zaskrbljeni	mte:Appmpn	zaskrbljen
nad	mte:Si	nad
načrtom	mte:Ncmsi	načrt
EU	mte:Npfsg	EU
,	mte:Z	,
da	mte:Cs	da
bo	mte:Va-f3s-n	biti
začela	mte:Vmep-sf	začeti
letalskim	mte:Agpfpd	letalski
družbam	mte:Ncfpd	družba
,	mte:Z	,
ki	mte:Cs	ki
letijo	mte:Vmpr3p	leteti
v	mte:Sl	v
in	mte:Cc	in
iz	mte:Sg	iz
Evrope	mte:Npfsg	Evropa
,	mte:Z	,
z	mte:Si	z
januarjem	mte:Ncmsi	januar
zaračunavati	mte:Vmpn	zaračunavati
emisije	mte:Ncfpa	emisija
CO2	mte:Ncmsn	CO2
S	mte:Si	z
1	mte:Mdc	1
.	mte:Z	.
januarjem	mte:Ncmsi	januar
2012	mte:Mdc	2012
bo	mte:Va-f3s-n	biti
EU	mte:Npfsa	EU
letalske	mte:Agpmpa	letalski
prevoznike	mte:Ncmpa	prevoznik
,	mte:Z	,
ki	mte:Cs	ki
skupaj	mte:Rgp	skupaj
prispevajo	mte:Vmbr3p	prispevati
tri	mte:Mlcmpa	trije
odstotke	mte:Ncmpa	odstotek
svetovnih	mte:Agpfpg	svetoven
emisij	mte:Ncfpg	emisija
toplogrednih	mte:Agpmpg	toplogreden
plinov	mte:Ncmpg	plin
,	mte:Z	,
vključila	mte:Vmep-sf	vključiti
v	mte:Sa	v
trgovalno	mte:Agpfsa	trgovalen
shemo	mte:Ncfsa	shema
z	mte:Si	z
emisijskimi	mte:Agpmpi	emisijski
kuponi	mte:Ncmpi	kupona
.	mte:Z	.
V	mte:Sl	v
letu	mte:Ncnsl	leto
2012	mte:Mdc	2012
bodo	mte:Va-f3p-n	biti
letalski	mte:Agpmpn	letalski
prevozniki	mte:Ncmpn	prevoznik
prejeli	mte:Vmep-pm	prejeti
85	mte:Mdc	85
odstotkov	mte:Ncmpg	odstotek
brezplačnih	mte:Agpmpg	brezplačen
emisijskih	mte:Agpmpg	emisijski
kuponov	mte:Ncmpg	kupon
,	mte:Z	,
kar	mte:Pr-nsn	kar
pomeni	mte:Vmbr3s	pomeniti
,	mte:Z	,
bi	mte:Va-c	biti
morali	mte:Vmpp-pm	morati
plačati	mte:Vmen	plačati
le	mte:Q	le
za	mte:Sa	za
15	mte:Mdc	15
odstotkov	mte:Ncmpg	odstotek
svojih	mte:Px-mpg	svoj
izpustov	mte:Ncmpg	izpust
.	mte:Z	.
Odstotek	mte:Ncmsan	odstotek
brezplačnih	mte:Agpmpg	brezplačen
kuponov	mte:Ncmpg	kupon
se	mte:Px------y	se
bo	mte:Va-f3s-n	biti
nato	mte:Rgp	nato
postopno	mte:Rgp	postopno
zniževal	mte:Vmpp-sm	zniževati
,	mte:Z	,
leta	mte:Ncnsg	leto
2020	mte:Mdc	2020
bodo	mte:Va-f3p-n	biti
morali	mte:Vmpp-pm	morati
plačati	mte:Vmen	plačati
18	mte:Mdc	18
odstotkov	mte:Ncmpg	odstotek
izpustov	mte:Ncmpg	izpust
.	mte:Z	.
V	mte:Sl	v
ZDA	mte:Npfpl	ZDA
se	mte:Px------y	se
s	mte:Si	z
to	mte:Pd-fsi	ta
odločitvijo	mte:Ncfsi	odločitev
EU	mte:Npfsg	EU
ne	mte:Q	ne
strinjajo	mte:Vmpr3p	strinjati
.	mte:Z	.
V	mte:Sa	v
bran	mte:Ncmsan	bran
so	mte:Va-r3p-n	biti
Američanom	mte:Npmpd	Američan
zdaj	mte:Rgp	zdaj
stopile	mte:Vmep-pf	stopiti
tudi	mte:Q	tudi
azijske	mte:Agpfpn	azijski
letalske	mte:Agpfpn	letalski
družbe	mte:Ncfpn	družba
in	mte:Cc	in
v	mte:Sl	v
Mednarodni	mte:Agpfsl	mednaroden
organizaciji	mte:Ncfsl	organizacija
za	mte:Sa	za
civilno	mte:Agpnsa	civilen
letalstvo	mte:Ncnsa	letalstvo
.	mte:Z	.
EU	mte:Npfsn	EU
pozivajo	mte:Vmpr3p	pozivati
,	mte:Z	,
naj	mte:Cs	naj
tuje	mte:Agpmpa	tuj
prevoznike	mte:Ncmpa	prevoznik
izključijo	mte:Vmer3p	izključiti
iz	mte:Sg	iz
pravil	mte:Ncnpg	pravilo
,	mte:Z	,
ki	mte:Cs	ki
prihajajo	mte:Vmpr3p	prihajati
v	mte:Sa	v
veljavo	mte:Ncfsa	veljava
z	mte:Si	z
začetkom	mte:Ncmsi	začetek
januarja	mte:Ncmsg	januar
.	mte:Z	.
Obama	mte:Npmsn	Obam
zaskrbljen	mte:Appmsnn	zaskrbljen
nad	mte:Si	nad
ukrepom	mte:Ncmsi	ukrep
EU	mte:Npfsg	EU
Na	mte:Sl	na
vrhu	mte:Ncmsl	vrh
ZDA	mte:Npfpg	ZDA
-	mte:Z	-
EU	mte:Npfsg	EU
v	mte:Sl	v
Washingtonu	mte:Npmsl	Washington
je	mte:Va-r3s-n	biti
včeraj	mte:Rgp	včeraj
predsednik	mte:Ncmsn	predsednik
tudi	mte:Q	tudi
Barack	mte:Npmsn	Barack
Obama	mte:Npmsn	Obam
izrazil	mte:Vmep-sm	izraziti
zaskrbljenost	mte:Ncfsa	zaskrbljenost
nad	mte:Si	nad
tem	mte:Pd-msi	ta
ukrepom	mte:Ncmsi	ukrep
in	mte:Cc	in
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
v	mte:Sl	v
zvezi	mte:Ncfsl	zveza
s	mte:Si	z
tem	mte:Pd-nsi	ta
srečal	mte:Vmep-sm	srečati
s	mte:Si	z
predsednikom	mte:Ncmsi	predsednik
Evropskega	mte:Agpmsg	evropski
sveta	mte:Ncmsg	svet
Hermanom	mte:Npmsi	Herman
Van	mte:Npmsi	Van
Rompuyem	mte:Npmsi	Rompuy
,	mte:Z	,
predsednikom	mte:Ncmsi	predsednik
Evropske	mte:Agpfsg	evropski
komisije	mte:Ncfsg	komisija
Joseom	mte:Npmsi	Joseom
Manuelom	mte:Npmsi	Manuel
Barrosom	mte:Npmsi	Barros
in	mte:Cc	in
vodjo	mte:Ncmsi	vodja
zunanje	mte:Agpfsg	zunanji
politike	mte:Ncfsg	politika
EU	mte:Npfsg	EU
Catherine	mte:Npfsi	Catherine
Ashton	mte:Npfsi	Ashton
.	mte:Z	.
Ameriški	mte:Agpmsny	ameriški
veleposlanik	mte:Ncmsn	veleposlanik
pri	mte:Sl	pri
EU	mte:Npfsl	EU
William	mte:Npmsn	William
Kennard	mte:Npmsn	Kennard
je	mte:Va-r3s-n	biti
povedal	mte:Vmep-sm	povedati
,	mte:Z	,
da	mte:Cs	da
bi	mte:Va-c	biti
si	mte:Px---d--y	se
Združene	mte:Appfpn	združen
države	mte:Ncfpn	država
Amerike	mte:Npfsg	Amerika
želele	mte:Vmpp-pf	želeti
multilateralen	mte:Agpmsan	multilateralen
pristop	mte:Ncmsan	pristop
,	mte:Z	,
kar	mte:Pr-nsn	kar
je	mte:Va-r3s-n	biti
poželo	mte:Agpnsn	požel
takojšnje	mte:Agpnsa	takojšnji
nestrinjanje	mte:Ncnsa	nestrinjanje
predstavnika	mte:Ncmsg	predstavnik
EU	mte:Npfsg	EU
na	mte:Sl	na
vrhu	mte:Ncmsl	vrh
v	mte:Sl	v
Washingtonu	mte:Npmsl	Washington
,	mte:Z	,
Joaoa	mte:Npmsn	Joaoa
Vale	mte:Npmsn	Vale
de	mte:Xf	de
Almeida	mte:Npmsn	Almeid
.	mte:Z	.
"	mte:Z	"
EU	mte:Npfsn	EU
ne	mte:Q	ne
nasprotuje	mte:Vmpr3s	nasprotovati
večstranskim	mte:Agpfpd	večstranski
rešitvam	mte:Ncfpd	rešitev
,	mte:Z	,
"	mte:Z	"
je	mte:Va-r3s-n	biti
dejal	mte:Vmep-sm	dejati
Almeida	mte:Npmsn	Almeid
.	mte:Z	.
"	mte:Z	"
Vendar	mte:Cc	vendar
smo	mte:Va-r1p-n	biti
na	mte:Sa	na
to	mte:Pd-nsa	ta
čakali	mte:Vmpp-pm	čakati
predolgo	mte:Rgp	predolgo
,	mte:Z	,
kar	mte:Rgp	kar
15	mte:Mdc	15
let	mte:Ncnpg	leto
smo	mte:Va-r1p-n	biti
čakali	mte:Vmpp-pm	čakati
,	mte:Z	,
da	mte:Cs	da
bi	mte:Va-c	biti
Mednarodna	mte:Agpfsn	mednaroden
organizacijo	mte:Ncfsn	organizacija
za	mte:Sa	za
civilno	mte:Agpnsa	civilen
letalstvo	mte:Ncnsa	letalstvo
prišla	mte:Vmep-sf	priti
na	mte:Sa	na
kakršenkoli	mte:Pq-msa	kakršenkoli
pogovor	mte:Ncmsan	pogovor
o	mte:Sl	o
tej	mte:Pd-fsl	ta
temi	mte:Ncfsl	tema
.	mte:Z	.
"	mte:Z	"
Ameriške	mte:Agpfsn	ameriški
letalske	mte:Agpfsn	letalski
družbe	mte:Ncfpn	družba
so	mte:Va-r3p-n	biti
že	mte:Q	že
vložile	mte:Vmep-pf	vložiti
tožbo	mte:Ncfsa	tožba
V	mte:Sl	v
Ameriškem	mte:Agpmsl	ameriški
predstavniškem	mte:Agpmsl	predstavniški
domu	mte:Ncmsl	dom
so	mte:Va-r3p-n	biti
premišljevali	mte:Vmpp-pm	premišljevati
celo	mte:Q	celo
,	mte:Z	,
da	mte:Cs	da
bi	mte:Va-c	biti
vladi	mte:Ncfsd	vlada
predlagali	mte:Vmbp-pm	predlagati
naj	mte:Q	naj
prevoznikom	mte:Ncmpd	prevoznik
iz	mte:Sg	iz
ZDA	mte:Npfpg	ZDA
prepove	mte:Vmer3s	prepovati
,	mte:Z	,
da	mte:Cs	da
bi	mte:Va-c	biti
sodelovali	mte:Vmpp-pm	sodelovati
v	mte:Sl	v
katerem	mte:Pq-msl	kateri
koli	mte:Q	koli
sistemu	mte:Ncmsd	sistem
trgovanja	mte:Ncnsg	trgovanje
z	mte:Si	z
emisijami	mte:Ncfpi	emisija
,	mte:Z	,
ki	mte:Cs	ki
ga	mte:Pp3msa--y	on
je	mte:Va-r3s-n	biti
enostransko	mte:Agpnsn	enostransko
