token	tag	lemma
Hokejisti	mte:Ncmpn	hokejist
.	mte:Z	.
V	mte:Sl	v
Tivoliju	mte:Npmsl	Tivolij
ne	mte:Q	ne
trenirajo	mte:Vmpr3p	trenirati
zaradi	mte:Sg	zaradi
EP	mte:Ncmsg	EP
,	mte:Z	,
v	mte:Sl	v
Zalogu	mte:Ncmsl	zalog
ne	mte:Q	ne
delajo	mte:Vmpr3p	delati
hladilne	mte:Agpfsg	hladilen
naprave	mte:Ncfsg	naprava
.	mte:Z	.
"	mte:Z	"
To	mte:Pd-nsn	ta
je	mte:Va-r3s-n	biti
višek	mte:Ncmsn	višek
svinjarije	mte:Ncfsg	svinjarija
.	mte:Z	.
Moj	mte:Ps1msns	moj
vnuk	mte:Ncmsn	vnuk
že	mte:Q	že
13	mte:Mdc	13
let	mte:Ncnpg	leto
igra	mte:Vmpr3s	igrati
hokej	mte:Ncmsn	hokej
,	mte:Z	,
zdaj	mte:Rgp	zdaj
pa	mte:Cc	pa
zaradi	mte:Sg	zaradi
evropskega	mte:Agpnsg	evropski
prvenstva	mte:Ncnsg	prvenstvo
(	mte:Z	(
EP	mte:Npmsn	EP
)	mte:Z	)
v	mte:Sl	v
košarki	mte:Ncfsl	košarka
v	mte:Sl	v
Hali	mte:Npfsl	Hali
Tivoli	mte:Npmsn	Tivoli
nimajo	mte:Vmpr3p-y	imeti
kje	mte:Rgp	kje
trenirati	mte:Vmpn	trenirati
.	mte:Z	.
Vsak	mte:Pg-msa	vsak
dan	mte:Ncmsan	dan
se	mte:Px------y	se
morajo	mte:Vmpr3p	morati
voziti	mte:Vmpn	voziti
v	mte:Sa	v
Celje	mte:Npnsa	Celje
,	mte:Z	,
saj	mte:Cc	saj
tudi	mte:Q	tudi
v	mte:Sl	v
Zalogu	mte:Ncmsl	zalog
ledu	mte:Ncmsl	led
ni	mte:Va-r3s-y	biti
,	mte:Z	,
ker	mte:Cs	ker
ne	mte:Q	ne
delajo	mte:Vmpr3p	delati
hladilne	mte:Agpfsg	hladilen
naprave	mte:Ncfsg	naprava
,	mte:Z	,
"	mte:Z	"
je	mte:Va-r3s-n	biti
povedala	mte:Vmep-sf	povedati
babica	mte:Ncfsn	babica
enega	mte:Mlpmsg	en
od	mte:Sg	od
mladih	mte:Agpmpg	mlad
hokejistov	mte:Ncmpg	hokejist
.	mte:Z	.
Dodala	mte:Vmep-sf	dodati
je	mte:Va-r3s-n	biti
,	mte:Z	,
da	mte:Cs	da
že	mte:Q	že
tako	mte:Rgp	tako
vsak	mte:Pg-msa	vsak
mesec	mte:Ncmsan	mesec
plačajo	mte:Vmer3p	plačati
72	mte:Mdc	72
evrov	mte:Ncmpg	evro
članarine	mte:Ncfsg	članarina
,	mte:Z	,
zdaj	mte:Rgp	zdaj
pa	mte:Cc	pa
morajo	mte:Vmpr3p	morati
plačevati	mte:Vmpn	plačevati
še	mte:Q	še
bencin	mte:Ncmsan	bencin
.	mte:Z	.
Poleg	mte:Sg	poleg
tega	mte:Pd-nsg	ta
mora	mte:Vmpr3s	morati
njen	mte:Ps3msnsf	njen
vnuk	mte:Ncmsn	vnuk
štirikrat	mte:Rgp	štirikrat
na	mte:Sa	na
teden	mte:Ncmsan	teden
nekoga	mte:Pi-msa	nekdo
prositi	mte:Vmpn	prositi
za	mte:Sa	za
prevoz	mte:Ncmsan	prevoz
,	mte:Z	,
ker	mte:Cs	ker
v	mte:Sl	v
družini	mte:Ncfsl	družina
nimajo	mte:Vmpr3p-y	imeti
avtomobila	mte:Ncmsg	avtomobil
.	mte:Z	.
Treningi	mte:Ncmpn	trening
v	mte:Sl	v
Celju	mte:Npnsl	Celje
neobvezni	mte:Agpmpn	neobvezen
V	mte:Sl	v
Hokejskem	mte:Agpmsl	hokejski
klubu	mte:Ncmsl	klub
Olimpija	mte:Npfsn	Olimpija
so	mte:Va-r3p-n	biti
pojasnili	mte:Vmep-pm	pojasniti
,	mte:Z	,
da	mte:Cs	da
hokejisti	mte:Ncmpn	hokejist
trenirajo	mte:Vmpr3p	trenirati
v	mte:Sl	v
Celju	mte:Npnsl	Celje
,	mte:Z	,
ker	mte:Cs	ker
je	mte:Va-r3s-n	biti
to	mte:Pd-nsn	ta
edini	mte:Agpmsny	edin
led	mte:Ncmsn	led
v	mte:Sl	v
Sloveniji	mte:Npfsl	Slovenija
,	mte:Z	,
ki	mte:Cs	ki
so	mte:Va-r3p-n	biti
ga	mte:Pp3msa--y	on
lahko	mte:Rgp	lahko
zagotovili	mte:Vmep-pm	zagotoviti
,	mte:Z	,
saj	mte:Cc	saj
ga	mte:Pp3msa--y	on
v	mte:Sl	v
Ljubljani	mte:Npfsl	Ljubljana
ni	mte:Va-r3s-y	biti
:	mte:Z	:
"	mte:Z	"
Zakaj	mte:Rgp	zakaj
ga	mte:Pp3msa--y	on
ni	mte:Va-r3s-y	biti
,	mte:Z	,
boste	mte:Va-f2p-n	biti
morali	mte:Vmpp-pm	morati
vprašati	mte:Vmen	vprašati
Javni	mte:Agpmsay	javen
zavod	mte:Ncmsan	zavod
Šport	mte:Ncmsn	šport
Ljubljana	mte:Npfsn	Ljubljana
,	mte:Z	,
ki	mte:Cs	ki
upravlja	mte:Vmpr3s	upravljati
športne	mte:Agpmpa	športen
objekte	mte:Ncmpa	objekt
,	mte:Z	,
Halo	mte:Npmsn	Halo
Tivoli	mte:Npmsn	Tivoli
in	mte:Cc	in
Zalog	mte:Ncfpg	zaloga
.	mte:Z	.
"	mte:Z	"
Dodali	mte:Vmep-pm	dodati
so	mte:Va-r3p-n	biti
,	mte:Z	,
da	mte:Cs	da
treningi	mte:Ncmpn	trening
v	mte:Sl	v
Celju	mte:Npnsl	Celje
niso	mte:Va-r3p-y	biti
obvezni	mte:Agpmpn	obvezen
,	mte:Z	,
zato	mte:Cc	zato
so	mte:Va-r3p-n	biti
za	mte:Sa	za
tiste	mte:Pd-mpa	tisti
,	mte:Z	,
ki	mte:Cs	ki
tja	mte:Rgp	tja
ne	mte:Q	ne
morejo	mte:Vmpr3p	moči
,	mte:Z	,
organizirali	mte:Vmbp-pm	organizirati
suhe	mte:Agpmpa	suh
treninge	mte:Ncmpa	trening
v	mte:Sl	v
Ljubljani	mte:Npfsl	Ljubljana
.	mte:Z	.
"	mte:Z	"
Potrudili	mte:Vmep-pm	potruditi
smo	mte:Va-r1p-n	biti
se	mte:Px------y	se
,	mte:Z	,
kolikor	mte:Cs	kolikor
smo	mte:Va-r1p-n	biti
se	mte:Px------y	se
lahko	mte:Rgp	lahko
,	mte:Z	,
da	mte:Cs	da
bi	mte:Va-c	biti
zagotovili	mte:Vmep-pm	zagotoviti
treninge	mte:Ncmpa	trening
na	mte:Sl	na
ledu	mte:Ncmsl	led
,	mte:Z	,
"	mte:Z	"
so	mte:Va-r3p-n	biti
povedali	mte:Vmep-pm	povedati
v	mte:Sl	v
klubu	mte:Ncmsl	klub
in	mte:Cc	in
dodali	mte:Vmep-pm	dodati
,	mte:Z	,
da	mte:Cs	da
imajo	mte:Vmpr3p-n	imeti
že	mte:Q	že
tako	mte:Rgp	tako
veliko	mte:Rgp	veliko
težav	mte:Ncfpg	težava
pri	mte:Sl	pri
sestavljanju	mte:Ncnsl	sestavljanje
urnika	mte:Ncmsg	urnik
,	mte:Z	,
saj	mte:Cc	saj
si	mte:Px---d--y	se
Halo	mte:Npmsn	Halo
Tivoli	mte:Npmsn	Tivoli
delijo	mte:Vmpr3p	deliti
z	mte:Si	z
vsemi	mte:Pg-fpi	ves
ekipami	mte:Ncfpi	ekipa
Olimpije	mte:Npfsg	Olimpija
,	mte:Z	,
rekreativci	mte:Ncmpi	rekreativec
,	mte:Z	,
veterani	mte:Ncmpi	veteran
in	mte:Cc	in
drsalci	mte:Ncmpi	drsalec
:	mte:Z	:
"	mte:Z	"
Si	mte:Px---d--y	biti
predstavljate	mte:Vmpr2p	predstavljati
,	mte:Z	,
kako	mte:Rgp	kako
se	mte:Px------y	se
odzovejo	mte:Vmer3p	odzoveti
starši	mte:Ncmpn	starš
hokejistov	mte:Ncmpg	hokejist
,	mte:Z	,
ko	mte:Cs	ko
jim	mte:Pp3mpd--y	on
rečejo	mte:Vmer3p	reči
,	mte:Z	,
da	mte:Cs	da
imajo	mte:Vmpr3p-n	imeti
trening	mte:Ncmsan	trening
ob	mte:Sl	ob
14	mte:Mdc	14
.	mte:Z	.
uri	mte:Ncfsl	ura
?	mte:Z	?
Vsi	mte:Pg-mpn	ves
lahko	mte:Rgp	lahko
otroke	mte:Ncmpa	otrok
pripeljejo	mte:Vmer3p	pripeljati
šele	mte:Q	šele
po	mte:Sl	po
15	mte:Mdc	15
.	mte:Z	.
uri	mte:Ncfsl	ura
,	mte:Z	,
pa	mte:Cc	pa
še	mte:Q	še
to	mte:Pd-nsa	ta
s	mte:Si	z
pomočjo	mte:Ncfsi	pomoč
babic	mte:Ncfpg	babica
,	mte:Z	,
tako	mte:Cc	tako
da	mte:Cs	da
moramo	mte:Vmpr1p	morati
popoldne	mte:Rgp	popoldne
led	mte:Ncmsa	led
razdeliti	mte:Vmen	razdeliti
med	mte:Sa	med
vse	mte:Pg-mpa	ves
omenjene	mte:Appmpa	omenjen
.	mte:Z	.
"	mte:Z	"
Zdaj	mte:Rgp	zdaj
pričakujejo	mte:Vmpr3p	pričakovati
,	mte:Z	,
da	mte:Cs	da
se	mte:Px------y	se
bodo	mte:Va-f3p-n	biti
na	mte:Sa	na
led	mte:Ncmsan	led
v	mte:Sl	v
Tivoliju	mte:Npmsl	Tivolij
vrnili	mte:Vmep-pm	vrniti
po	mte:Sl	po
EP	mte:Ncmsan	EP
,	mte:Z	,
in	mte:Cc	in
sicer	mte:Q	sicer
15	mte:Mdc	15
.	mte:Z	.
septembra	mte:Ncmsg	september
.	mte:Z	.
Zalog	mte:Ncfpg	zaloga
v	mte:Sa	v
ponedeljek	mte:Ncmsan	ponedeljek
nared	mte:Rgp	nared
Od	mte:Sg	od
ponedeljka	mte:Ncmsg	ponedeljka
pa	mte:Cc	pa
bodo	mte:Va-f3p-n	biti
hokejisti	mte:Ncmpn	hokejist
lahko	mte:Rgp	lahko
trenirali	mte:Vmpp-pm	trenirati
v	mte:Sl	v
Zalogu	mte:Npmsl	Zalog
,	mte:Z	,
je	mte:Va-r3s-n	biti
včeraj	mte:Rgp	včeraj
napovedal	mte:Vmep-sm	napovedati
Boris	mte:Npmsn	Boris
Makoter	mte:Npmsn	Makoter
iz	mte:Sg	iz
Športa	mte:Npmsg	Šport
Ljubljana	mte:Npfsn	Ljubljana
,	mte:Z	,
ki	mte:Cs	ki
je	mte:Va-r3s-n	biti
zadolžen	mte:Appmsnn	zadolžen
za	mte:Sa	za
park	mte:Ncmsan	park
Zalog	mte:Ncfpg	zaloga
.	mte:Z	.
"	mte:Z	"
Zelo	mte:Rgp	zelo
smo	mte:Va-r1p-n	biti
si	mte:Px---d--y	se
prizadevali	mte:Vmpp-pm	prizadevati
,	mte:Z	,
da	mte:Cs	da
bi	mte:Va-c	biti
led	mte:Npmsn	led
zagotovili	mte:Vmep-pm	zagotoviti
že	mte:Q	že
avgusta	mte:Ncmsg	avgust
,	mte:Z	,
a	mte:Cc	a
so	mte:Va-r3p-n	biti
se	mte:Px------y	se
pokvarile	mte:Vmep-pf	pokvariti
Mercatorjeve	mte:Aspfpn	Mercatorjev
hladilnice	mte:Ncfpn	hladilnica
,	mte:Z	,
ki	mte:Cs	ki
nam	mte:Pp1-pd	jaz
zagotavljajo	mte:Vmpr3p	zagotavljati
led	mte:Ncmsan	led
.	mte:Z	.
To	mte:Pd-nsn	ta
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
zgodilo	mte:Vmep-sn	zgoditi
prvič	mte:Rgp	prvič
,	mte:Z	,
pa	mte:Cc	pa
prav	mte:Q	prav
letos	mte:Rgp	letos
,	mte:Z	,
ko	mte:Cs	ko
v	mte:Sl	v
Hali	mte:Npfsl	Hali
Tivoli	mte:Npmsn	Tivoli
zaradi	mte:Sg	zaradi
EP	mte:Npmsg	EP
ni	mte:Va-r3s-y	biti
ledu	mte:Ncmsg	led
,	mte:Z	,
"	mte:Z	"
je	mte:Va-r3s-n	biti
povedal	mte:Vmep-sm	povedati
Makoter	mte:Npmsn	Makoter
in	mte:Cc	in
dodal	mte:Vmep-sm	dodati
,	mte:Z	,
da	mte:Cs	da
so	mte:Va-r3p-n	biti
se	mte:Px------y	se
Mercatorju	mte:Npmsd	Mercator
pokvarili	mte:Vmep-pm	pokvariti
kompresorji	mte:Ncmpn	kompresor
,	mte:Z	,
nato	mte:Rgp	nato
pa	mte:Cc	pa
so	mte:Va-r3p-n	biti
morali	mte:Vmpp-pm	morati
čakati	mte:Vmpn	čakati
na	mte:Sa	na
rezervne	mte:Agpmpa	rezerven
dele	mte:Ncmpa	del
iz	mte:Sg	iz
Italije	mte:Npfsg	Italija
,	mte:Z	,
tako	mte:Cc	tako
da	mte:Cs	da
jim	mte:Pp3mpd--y	on
je	mte:Va-r3s-n	biti
zdaj	mte:Rgp	zdaj
le	mte:Q	le
uspelo	mte:Vmep-sn	uspeti
popraviti	mte:Vmen	popraviti
hladilne	mte:Agpfpg	hladilen
