token	tag	lemma
Ob	mte:Sl	ob
66	mte:Mdc	66
.	mte:Z	.
obletnici	mte:Ncfsl	obletnica
zadnjega	mte:Agpmsg	zadnji
boja	mte:Ncmsg	boj
Pohorskega	mte:Agpmsg	pohorski
bataljona	mte:Ncmsg	bataljon
je	mte:Va-r3s-n	biti
na	mte:Sl	na
prizorišču	mte:Ncnsl	prizorišče
bojišča	mte:Ncnsg	bojišče
pri	mte:Sl	pri
Treh	mte:Mlcmpl	trije
žebljih	mte:Ncmpl	žebelj
na	mte:Sl	na
Osankarici	mte:Npfsl	Osankarica
na	mte:Sl	na
Pohorju	mte:Npnsl	Pohorje
danes	mte:Rgp	danes
potekala	mte:Vmpp-sf	potekati
spominska	mte:Agpfsn	spominski
slovesnost	mte:Ncfsn	slovesnost
.	mte:Z	.
Na	mte:Sl	na
slovesnosti	mte:Ncfsl	slovesnost
je	mte:Va-r3s-n	biti
bil	mte:Va-p-sm	biti
slavnostni	mte:Agpmsny	slavnosten
govornik	mte:Ncmsn	govornik
predsednik	mte:Ncmsn	predsednik
države	mte:Ncfsg	država
Danilo	mte:Npmsn	Danilo
Türk	mte:Npmsn	Türk
in	mte:Cc	in
dejal	mte:Vmep-sm	dejati
,	mte:Z	,
da	mte:Cs	da
slovenski	mte:Agpmsny	slovenski
narod	mte:Ncmsn	narod
ne	mte:Q	ne
bi	mte:Va-c	biti
smel	mte:Vmpp-sm	smeti
nikoli	mte:Rgp	nikoli
pozabiti	mte:Vmen	pozabiti
požrtvovalnosti	mte:Ncfsg	požrtvovalnost
Pohorskega	mte:Agpmsg	pohorski
bataljona	mte:Ncmsg	bataljon
.	mte:Z	.
Poudaril	mte:Vmep-sm	poudariti
je	mte:Va-r3s-n	biti
,	mte:Z	,
da	mte:Cs	da
moramo	mte:Vmpr1p	morati
biti	mte:Va-n	biti
Slovenci	mte:Npmpn	Slovenec
ponosni	mte:Agpmpn	ponosen
na	mte:Sa	na
dediščino	mte:Ncfsa	dediščina
NOB	mte:Ncfsg	NOB
in	mte:Cc	in
njegovega	mte:Ps3nsgsm	njegov
prizadevanja	mte:Ncnsg	prizadevanje
pred	mte:Si	pred
več	mte:Rgc	več
kot	mte:Cs	kot
60	mte:Mdc	60
leti	mte:Ncnpi	leto
v	mte:Sl	v
globalnem	mte:Agpmsl	globalen
spopadu	mte:Ncmsl	spopad
,	mte:Z	,
v	mte:Sl	v
