token	tag	lemma
Minister	mte:Ncmsn	minister
Bajuk	mte:Npmsn	Bajuk
je	mte:Va-r3s-n	biti
priznal	mte:Vmep-sm	priznati
napako	mte:Ncfsa	napaka
pri	mte:Sl	pri
postopku	mte:Ncmsl	postopek
prodaje	mte:Ncfsg	prodaja
NKBM	mte:Npfsg	NKBM
.	mte:Z	.
Zares	mte:Rgp	zares
zahteva	mte:Vmbr3s	zahtevati
sejo	mte:Ncfsa	seja
komisije	mte:Ncfsg	komisija
za	mte:Sa	za
nadzor	mte:Ncmsan	nadzor
javnih	mte:Agpfpg	javen
financ	mte:Ncfpg	finance
.	mte:Z	.
Bajuk	mte:Npmsn	Bajuk
je	mte:Va-r3s-n	biti
poudaril	mte:Vmep-sm	poudariti
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
bil	mte:Va-p-sm	biti
izbor	mte:Ncmsn	izbor
cene	mte:Ncfsg	cena
delnic	mte:Ncfpg	delnica
NKBM	mte:Npfsg	NKBM
izbran	mte:Appmsnn	izbran
na	mte:Sl	na
podlagi	mte:Ncfsl	podlaga
skrbnih	mte:Agpmpg	skrben
pregledov	mte:Ncmpg	pregled
banke	mte:Ncfsg	banka
.	mte:Z	.
Ministrstvo	mte:Ncnsn	ministrstvo
za	mte:Sa	za
finance	mte:Ncfpa	finance
je	mte:Va-r3s-n	biti
ugotovilo	mte:Vmep-sn	ugotoviti
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
eno	mte:Mlpfsa	en
ponudbo	mte:Ncfsa	ponudba
investicijske	mte:Agpfsg	investicijski
družbe	mte:Ncfsg	družba
NFD	mte:Npmsn	NFD
1	mte:Mdc	1
za	mte:Sa	za
nakup	mte:Ncmsan	nakup
delnic	mte:Ncfpg	delnica
Nove	mte:Agpfsg	nov
Kreditne	mte:Agpfsg	krediten
banke	mte:Ncfsg	banka
Maribor	mte:Npmsn	Maribor
NKBM	mte:Npfsn	NKBM
izločilo	mte:Vmep-sn	izločiti
pomotoma	mte:Rgp	pomotoma
.	mte:Z	.
To	mte:Pd-nsn	ta
je	mte:Va-r3s-n	biti
bila	mte:Va-p-sf	biti
napaka	mte:Ncfsn	napaka
,	mte:Z	,
ki	mte:Cs	ki
jo	mte:Pp3fsa--y	on
bomo	mte:Va-f1p-n	biti
skušali	mte:Vmpp-pm	skušati
znotraj	mte:Sg	znotraj
zakonskih	mte:Agpmpg	zakonski
okvirov	mte:Ncmpg	okvir
in	mte:Cc	in
pravil	mte:Ncnpg	pravilo
prve	mte:Mlofsg	prvi
javne	mte:Agpfsg	javen
ponudbe	mte:Ncfsg	ponudba
čim	mte:Rgp	čim
prej	mte:Rgc	prej
rešiti	mte:Vmen	rešiti
,	mte:Z	,
je	mte:Va-r3s-n	biti
na	mte:Sl	na
novinarski	mte:Agpfsl	novinarski
konferenci	mte:Ncfsl	konferenca
v	mte:Sl	v
Ljubljani	mte:Npfsl	Ljubljana
povedal	mte:Vmep-sm	povedati
finančni	mte:Agpmsny	finančen
minister	mte:Ncmsn	minister
Andrej	mte:Npmsn	Andrej
Bajuk	mte:Npmsn	Bajuk
.	mte:Z	.
Kot	mte:Cs	kot
je	mte:Va-r3s-n	biti
pojasnil	mte:Vmep-sm	pojasniti
,	mte:Z	,
je	mte:Va-r3s-n	biti
družba	mte:Ncfsn	družba
poslala	mte:Vmep-sf	poslati
štiri	mte:Mlcfpa	štirje
ponudbe	mte:Ncfpa	ponudba
,	mte:Z	,
tri	mte:Mlcfpa	trije
po	mte:Sl	po
nižji	mte:Agcfsl	nizek
ceni	mte:Ncfsl	cena
od	mte:Sg	od
27	mte:Mdc	27
evrov	mte:Ncmpg	evro
za	mte:Sa	za
delnico	mte:Ncfsa	delnica
NKBM	mte:Npfsg	NKBM
,	mte:Z	,
ki	mte:Cs	ki
so	mte:Va-r3p-n	biti
jih	mte:Pp3fpa--y	on
izločili	mte:Vmep-pm	izločiti
avtomatično	mte:Rgp	avtomatično
,	mte:Z	,
ter	mte:Cc	ter
eno	mte:Mlpfsa	en
po	mte:Sl	po
ceni	mte:Ncfsl	cena
27	mte:Mdc	27
evrov	mte:Ncmpg	evro
za	mte:Sa	za
delnico	mte:Ncfsa	delnica
.	mte:Z	.
Po	mte:Sl	po
Bajukovih	mte:Aspfpl	Bajukov
besedah	mte:Ncfpl	beseda
pa	mte:Cc	pa
neizbor	mte:Ncmsn	neizbor
nekaterih	mte:Pi-mpg	nekateri
ponudnikov	mte:Ncmpg	ponudnik
ne	mte:Q	ne
pomeni	mte:Vmbr3s	pomeniti
prepovedi	mte:Ncfsg	prepoved
nakupa	mte:Ncmsg	nakup
delnic	mte:Ncfpg	delnica
NKBM	mte:Npfsg	NKBM
.	mte:Z	.
Te	mte:Pd-fpn	ta
bodo	mte:Va-f3p-n	biti
od	mte:Sg	od
ponedeljka	mte:Ncmsg	ponedeljka
naprej	mte:Rgp	naprej
kotirale	mte:Vmpp-pf	kotirati
na	mte:Sl	na
borzi	mte:Ncfsl	borz
in	mte:Cc	in
bodo	mte:Va-f3p-n	biti
na	mte:Sl	na
trgu	mte:Ncmsl	trg
,	mte:Z	,
je	mte:Va-r3s-n	biti
povedal	mte:Vmep-sm	povedati
.	mte:Z	.
Ob	mte:Sl	ob
tem	mte:Pd-nsl	ta
pa	mte:Cc	pa
je	mte:Va-r3s-n	biti
na	mte:Sa	na
fizične	mte:Agpfpa	fizičen
osebe	mte:Ncfpa	oseba
naslovil	mte:Vmep-sm	nasloviti
opozorilo	mte:Ncnsa	opozorilo
Odločitev	mte:Ncfsa	odločitev
o	mte:Sl	o
morebitni	mte:Agpfsl	morebiten
takojšnji	mte:Agpfsl	takojšnji
prodaji	mte:Ncfsl	prodaja
je	mte:Va-r3s-n	biti
sicer	mte:Q	sicer
njihova	mte:Ps3fsnp	njihov
,	mte:Z	,
vendar	mte:Cc	vendar
če	mte:Cs	če
delnice	mte:Ncfpn	delnica
prodajo	mte:Vmer3p	prodati
takoj	mte:Rgp	takoj
,	mte:Z	,
izgubijo	mte:Vmer3p	izgubiti
možnost	mte:Ncfsa	možnost
dobiti	mte:Vmen	dobiti
bonus	mte:Ncmsan	bonus
delnico	mte:Ncfsa	delnica
na	mte:Sa	na
10	mte:Mdc	10
zagotovljenih	mte:Appfpg	zagotovljen
delnic	mte:Ncfpg	delnica
za	mte:Sa	za
devetmesečno	mte:Agpnsa	devetmesečen
lastništvo	mte:Ncnsa	lastništvo
teh	mte:Pd-fpg	ta
delnic	mte:Ncfpg	delnica
.	mte:Z	.
Poleg	mte:Sg	poleg
tega	mte:Pd-nsg	ta
so	mte:Va-r3p-n	biti
kapitalski	mte:Agpmpn	kapitalski
dobički	mte:Ncmpn	dobiček
obdavčeni	mte:Appmpn	obdavčen
po	mte:Sl	po
20	mte:Mdc	20
-	mte:Z	-
odstotni	mte:Agpfsl	odstoten
stopnji	mte:Ncfsl	stopnja
,	mte:Z	,
je	mte:Va-r3s-n	biti
povzel	mte:Vmep-sm	povzeti
.	mte:Z	.
Država	mte:Ncfsn	država
je	mte:Va-r3s-n	biti
iztržila	mte:Vmep-sf	iztržiti
maksimum	mte:Ncmsan	maksimum
Bajuk	mte:Npmsn	Bajuk
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
znova	mte:Rgp	znova
ustavil	mte:Vmep-sm	ustaviti
pri	mte:Sl	pri
postavljeni	mte:Appfsl	postavljen
ceni	mte:Ncfsl	cena
za	mte:Sa	za
delnico	mte:Ncfsa	delnica
NKBM	mte:Npfsg	NKBM
.	mte:Z	.
Poudaril	mte:Vmep-sm	poudariti
je	mte:Va-r3s-n	biti
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
bil	mte:Va-p-sm	biti
cenovni	mte:Agpmsny	cenoven
razpon	mte:Ncmsn	razpon
za	mte:Sa	za
delnico	mte:Ncfsa	delnica
NKBM	mte:Npfsn	NKBM
,	mte:Z	,
postavljen	mte:Appmsnn	postavljen
med	mte:Si	med
20,50	mte:Mdc	20,50
in	mte:Cc	in
27	mte:Mdc	27
evri	mte:Ncmpi	evro
,	mte:Z	,
izbran	mte:Appmsnn	izbran
na	mte:Sl	na
podlagi	mte:Ncfsl	podlaga
skrbnih	mte:Agpmpg	skrben
pregledov	mte:Ncmpg	pregled
banke	mte:Ncfsg	banka
,	mte:Z	,
ki	mte:Cs	ki
sta	mte:Va-r3d-n	biti
ju	mte:Pp3mda--y	on
neodvisno	mte:Rgp	neodvisen
naredila	mte:Vmep-dm	narediti
svetovalca	mte:Ncmdn	svetovalec
v	mte:Sl	v
prvi	mte:Mlofsl	prvi
fazi	mte:Ncfsl	faza
privatizacije	mte:Ncfsg	privatizacija
banke	mte:Ncfsg	banka
,	mte:Z	,
Citigroup	mte:Npmsn	Citigroup
in	mte:Cc	in
Nomura	mte:Npmsn	Nomur
.	mte:Z	.
Poleg	mte:Sg	poleg
tega	mte:Pd-nsg	ta
so	mte:Va-r3p-n	biti
glede	mte:Sg	glede
cene	mte:Ncfsg	cena
opravili	mte:Vmep-pm	opraviti
preverbo	mte:Ncfsa	preverba
na	mte:Sl	na
trgu	mte:Ncmsl	trg
.	mte:Z	.
Ker	mte:Cs	ker
je	mte:Va-r3s-n	biti
bilo	mte:Va-p-sn	biti
izredno	mte:Rgp	izredno
veliko	mte:Rgp	veliko
povpraševanja	mte:Ncnsg	povpraševanje
s	mte:Sg	z
strani	mte:Ncfsg	stran
vlagateljev	mte:Ncmpg	vlagatelj
po	mte:Sl	po
najvišji	mte:Agsfsl	visok
postavljeni	mte:Appfsl	postavljen
ceni	mte:Ncfsl	cena
,	mte:Z	,
smo	mte:Va-r1p-n	biti
jo	mte:Pp3fsa--y	on
lahko	mte:Rgp	lahko
oblikovali	mte:Vmpp-pm	oblikovati
pri	mte:Sl	pri
27	mte:Mdc	27
evrih	mte:Ncmpl	evro
,	mte:Z	,
je	mte:Va-r3s-n	biti
znova	mte:Rgp	znova
pojasnil	mte:Vmep-sm	pojasniti
.	mte:Z	.
Država	mte:Ncfsn	država
je	mte:Va-r3s-n	biti
posredovala	mte:Vmbp-sf	posredovati
kot	mte:Cs	kot
regulator	mte:Ncmsan	regulator
trga	mte:Ncmsg	trg
in	mte:Cc	in
izbrala	mte:Vmep-sf	izbrati
najvišjo	mte:Agsfsa	visok
.	mte:Z	.
Če	mte:Cs	če
je	mte:Va-r3s-n	biti
bila	mte:Va-p-sf	biti
večina	mte:Ncfsn	večina
ponudb	mte:Ncfpg	ponudba
po	mte:Sa	po
27	mte:Mdc	27
evrov	mte:Ncmpg	evro
,	mte:Z	,
je	mte:Va-r3s-n	biti
to	mte:Pd-nsn	ta
tržna	mte:Agpfsn	tržen
cena	mte:Ncfsn	cena
in	mte:Cc	in
v	mte:Sl	v
danih	mte:Agpfpl	dan
razmerah	mte:Ncfpl	razmera
optimalna	mte:Agpfsn	optimalen
cena	mte:Ncfsn	cena
.	mte:Z	.
Žiga	mte:Npmsn	Žiga
Andoljšek	mte:Npmsn	Andoljšek
Generalni	mte:Agpmsny	generalen
direktor	mte:Ncmsn	direktor
direktorata	mte:Ncmsg	direktorat
za	mte:Sa	za
javno	mte:Agpnsa	javen
premoženje	mte:Ncnsa	premoženje
Žiga	mte:Npmsn	Žiga
Andoljšek	mte:Npmsn	Andoljšek
pa	mte:Cc	pa
je	mte:Va-r3s-n	biti
ocenil	mte:Vmep-sm	oceniti
Glede	mte:Rgp	glede
na	mte:Sa	na
dane	mte:Agpfpa	dan
razmere	mte:Ncfpa	razmera
,	mte:Z	,
izbran	mte:Appmsan	izbran
način	mte:Ncmsan	način
prodaje	mte:Ncfsg	prodaja
in	mte:Cc	in
na	mte:Sa	na
cilje	mte:Ncmpa	cilj
,	mte:Z	,
ki	mte:Cs	ki
si	mte:Px---d--y	se
jih	mte:Pp3mpa--y	on
je	mte:Va-r3s-n	biti
postavila	mte:Vmep-sf	postaviti
država	mte:Ncfsn	država
