token	tag	lemma
Od	mte:Sg	od
2,01	mte:Mdc	2,01
milijona	mte:Ncmsg	milijon
prebivalcev	mte:Ncmpg	prebivalec
Slovenije	mte:Npfsg	Slovenija
jih	mte:Pp3mpg--y	on
je	mte:Va-r3s-n	biti
bilo	mte:Va-p-sn	biti
konec	mte:Sg	konec
leta	mte:Ncnsg	leto
2007	mte:Mdc	2007
v	mte:Sl	v
tujini	mte:Ncfsl	tujina
rojenih	mte:Appmpg	rojen
11,2	mte:Mdc	11,2
odstotka	mte:Ncmsg	odstotek
.	mte:Z	.
Med	mte:Si	med
slovenskim	mte:Agpnsi	slovenski
prebivalstvom	mte:Ncnsi	prebivalstvo
je	mte:Va-r3s-n	biti
bilo	mte:Va-p-sn	biti
delovno	mte:Agpnsn	deloven
aktivnih	mte:Agpmpg	aktiven
58,2	mte:Mdc	58,2
odstotka	mte:Ncmsg	odstotek
,	mte:Z	,
vendar	mte:Cc	vendar
pa	mte:Cc	pa
delež	mte:Ncmsnn	delež
delovno	mte:Rgp	deloven
sposobnih	mte:Agpmpg	sposoben
ljudi	mte:Ncmpg	človek
že	mte:Q	že
od	mte:Sg	od
leta	mte:Ncnsg	leto
2003	mte:Mdc	2003
upada	mte:Vmpr3s	upadati
,	mte:Z	,
ugotavljajo	mte:Vmpr3p	ugotavljati
na	mte:Sl	na
državnem	mte:Agpmsl	državen
statističnem	mte:Agpmsl	statističen
uradu	mte:Ncmsl	urad
.	mte:Z	.
Upad	mte:Ncmsn	upad
je	mte:Va-r3s-n	biti
predvsem	mte:Q	predvsem
posledica	mte:Ncfsn	posledica
staranja	mte:Ncnsg	staranje
in	mte:Cc	in
manjše	mte:Agcfsg	majhen
rodnosti	mte:Ncfsg	rodnost
,	mte:Z	,
preprečiti	mte:Vmen	preprečiti
pa	mte:Cc	pa
ga	mte:Pp3msa--y	on
ni	mte:Va-r3s-y	biti
moglo	mte:Vmpp-sn	moči
niti	mte:Q	niti
priseljevanje	mte:Ncnsn	priseljevanje
.	mte:Z	.
Med	mte:Si	med
delovno	mte:Rgp	deloven
sposobnimi	mte:Agpmpi	sposoben
,	mte:Z	,
ki	mte:Cs	ki
so	mte:Va-r3p-n	biti
se	mte:Px------y	se
rodili	mte:Vmbp-pm	roditi
v	mte:Sl	v
tujini	mte:Ncfsl	tujina
,	mte:Z	,
je	mte:Va-r3s-n	biti
bilo	mte:Va-p-sn	biti
največ	mte:Rgs	največ
delovno	mte:Rgp	deloven
aktivnih	mte:Agpfpg	aktiven
med	mte:Si	med
tistimi	mte:Pd-fpi	tisti
osebami	mte:Ncfpi	oseba
,	mte:Z	,
ki	mte:Cs	ki
so	mte:Va-r3p-n	biti
se	mte:Px------y	se
rodile	mte:Vmbp-pf	roditi
v	mte:Sl	v
BiH	mte:Npfsl	Bih
,	mte:Z	,
sledijo	mte:Vmpr3p	slediti
rojene	mte:Appfpa	rojen
v	mte:Sl	v
Srbiji	mte:Npfsl	Srbija
,	mte:Z	,
na	mte:Sl	na
Hrvaškem	mte:Npnsl	Hrvaško
in	mte:Cc	in
v	mte:Sl	v
članicah	mte:Ncfpl	članica
EU	mte:Npfsg	EU
.	mte:Z	.
Visok	mte:Agpmsan	visok
delež	mte:Ncmsan	delež
tistih	mte:Pd-mpg	tisti
,	mte:Z	,
ki	mte:Cs	ki
so	mte:Va-r3p-n	biti
rojeni	mte:Appmpn	rojen
v	mte:Sl	v
BiH	mte:Npfsl	Bih
,	mte:Z	,
ni	mte:Va-r3s-y	biti
presenetljiv	mte:Agpmsnn	presenetljiv
,	mte:Z	,
saj	mte:Cc	saj
je	mte:Va-r3s-n	biti
država	mte:Ncfsn	država
prav	mte:Q	prav
Bošnjakom	mte:Npmpd	Bošnjak
izdala	mte:Vmep-sf	izdati
več	mte:Rgc	več
kot	mte:Cs	kot
polovico	mte:Ncfsa	polovica
dovoljenj	mte:Ncnpg	dovoljenje
za	mte:Sa	za
prvo	mte:Mlonsa	prvi
prebivanje	mte:Ncnsa	prebivanje
v	mte:Sl	v
Sloveniji	mte:Npfsl	Slovenija
