token	tag	lemma
Intenzivne	mte:Agpfpn	intenziven
padavine	mte:Ncfpn	padavina
in	mte:Cc	in
močan	mte:Agpmsan	močen
veter	mte:Ncmsan	veter
so	mte:Va-r3p-n	biti
predvsem	mte:Q	predvsem
v	mte:Sl	v
zahodni	mte:Agpfsl	zahoden
Sloveniji	mte:Npfsl	Slovenija
povzročili	mte:Vmep-pm	povzročiti
številne	mte:Agpfpa	številen
nevšečnosti	mte:Ncfpa	nevšečnost
.	mte:Z	.
V	mte:Sl	v
Bohinjski	mte:Agpfsl	bohinjski
dolini	mte:Ncfsl	dolina
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
na	mte:Sa	na
cesto	mte:Ncfsa	cesta
podrl	mte:Vmep-sm	podreti
celo	mte:Q	celo
kozolec	mte:Ncmsn	kozolec
.	mte:Z	.
Vreme.net	mte:Mdc	vreme.net
Podrobno	mte:Agpfsa	podrobno
vremensko	mte:Agpfsa	vremenski
napoved	mte:Ncfsa	napoved
za	mte:Sa	za
danes	mte:Rgp	danes
in	mte:Cc	in
prihodnje	mte:Agpmpa	prihodnji
dni	mte:Ncmpa	dan
si	mte:Px---d--y	se
lahko	mte:Rgp	lahko
preberete	mte:Vmer2p	prebrati
na	mte:Sl	na
našem	mte:Ps1nslp	naš
vremenskem	mte:Agpnsl	vremenski
portalu	mte:Ncnsl	portal
,	mte:Z	,
dostopnem	mte:Agpnsl	dostopen
na	mte:Sl	na
tej	mte:Pd-fsl	ta
povezavi	mte:Ncfsl	povezava
.	mte:Z	.
V	mte:Sl	v
noči	mte:Ncfsl	noč
s	mte:Sg	z
srede	mte:Ncfsg	sreda
na	mte:Sa	na
četrtek	mte:Ncmsan	četrtek
se	mte:Px------y	se
je	mte:Va-r3s-n	biti
zaradi	mte:Sg	zaradi
povišanega	mte:Appnsg	povišan
plimovanja	mte:Ncnsg	plimovanje
morja	mte:Ncnsg	morje
in	mte:Cc	in
okrepljenega	mte:Appmsg	okrepljen
jugovzhodnega	mte:Agpmsg	jugovzhoden
vetra	mte:Ncmsg	veter
gladina	mte:Ncfsn	gladina
morja	mte:Ncnsg	morje
dvignila	mte:Vmep-sf	dvigniti
do	mte:Sg	do
